name,dps_mean,dps_min,dps_max,dps_std_dev,dps_mean_std_dev
Bubbledan,1542222.2509264532,1344572.861690774,1705051.7623393207,44167.41230835853,390.2665201462653
1273/2609/raid-mythic/225574/639/7403/back//,1540205.6557801992,1374573.1522680714,1729091.6659560807,44194.875526679985,390.8144394574256
1273/2607/raid-mythic/212409/639/7463/off_hand//,1512315.7193107286,1408395.2218075797,1639214.4602109888,41697.461560434596,5132.602713527308
1273/2609/raid-mythic/212391/639/7463/main_hand//,1530495.7367696576,1323343.0387141195,1674856.1542559485,42966.40860872399,1498.6255944775373
1273/2601/raid-mythic/221023/639/0/trinket2//swap_doubleonuse,1552787.2515813936,1338016.5685344583,1735160.8958323274,44096.7216935909,395.1725302089033
1273/2601/raid-mythic/221023/639/0/trinket2//,1551212.0279372623,1299372.5151823596,1711731.6617337551,39664.9432582761,394.5052063882945
1273/2601/raid-mythic/221023/639/0/trinket1//,1552149.1164502786,1298050.2234865818,1742642.8321194763,44543.67575606955,395.1989751953101
1273/2612/raid-mythic/220305/639/0/trinket1//,1547016.1479719009,1335094.4428877716,1708904.0424981054,44019.798727621965,392.25294056751346
1273/2599/raid-mythic/212449/639/0/trinket2//,1519533.2726757156,1386125.3385300701,1641574.9487336485,37316.32621077746,1476.2110499376406
1273/2612/raid-mythic/220305/639/0/trinket2//,1536470.7419462341,1352721.9606992025,1665864.7850744098,37302.7561456816,390.22522917965085
1273/2599/raid-mythic/212449/639/0/trinket1//,1528590.484607716,1388622.4149240602,1714357.6045505328,44320.3760901116,1485.6223818784267
1273/-67/raid-mythic/225728/639/7346/finger2//,1515272.0801274134,1374636.165364894,1640570.596186077,42971.48044782632,1452.701181298547
1273/2599/raid-mythic/212067/639/7424/feet//,1540766.5692342904,1359278.5634410714,1757614.5051160732,44099.818703823556,392.2502843572343
1273/2608/raid-mythic/212432/639/0/hands//,1528979.2929249087,1396297.8056259037,1687782.7069453313,43977.70352419789,1479.1302351581835
1273/2607/raid-mythic/212409/639/7463/main_hand//swap_mh,1515633.5103776339,1434302.900597371,1628412.0226835439,42414.353850612264,5220.846054396866
1273/2607/raid-mythic/212423/639/7601/legs//,1440567.4767332599,1288819.5237279416,1541591.466166722,45766.0900412634,5633.4162594735035
1273/2599/raid-mythic/212066/639/0/hands//,1525253.9291515597,1396149.5015995812,1680978.8032899247,44108.48241670025,1476.861226370154
1273/-67/raid-mythic/225723/639/0/waist//,1540629.1748396398,1331937.1263855314,1714428.898019881,43582.40827553742,392.50690250351926
1273/2609/raid-mythic/212062/639/0/waist//,1542712.5527079736,1334143.498889195,1734477.3765968853,43883.83876107215,391.91372951660685
1273/2607/raid-mythic/212425/639/0/waist//,1537574.615223649,1365322.5046663724,1719785.1586725137,43501.34384219446,390.5591212848984
1273/2609/raid-mythic/212391/639/7463/main_hand//swap_mh,1514261.4750505623,1434800.5975861554,1607492.0649188142,42015.72131390493,5171.777781100686
1273/2602/raid-mythic/212433/639/7364/chest//,1434543.6152148067,1333409.3942567266,1526686.157620826,43249.585568236034,5323.655971832404
1273/2607/raid-mythic/212409/639/7463/main_hand//,1522429.9706973745,1352711.90547371,1697053.1302171287,44888.15767995107,1498.77196103778
1273/-67/raid-mythic/212062/639/0/waist//,1542646.0575337138,1358236.9466659112,1728329.7041001893,44214.47255243699,392.1547740699454
1273/2602/raid-mythic/212066/639/0/hands//,1523805.3383802024,1388027.2527007323,1639151.605135199,42988.93170534382,1503.0727488940338
1273/2602/raid-mythic/212444/639/0/shoulder//,1437521.8368781477,1353076.9788544462,1538617.782661785,41115.32791334329,5060.947014957603
1273/-67/raid-mythic/225722/639/0/shoulder//,1438597.984450763,1366010.7798713327,1519402.5850062838,37388.9205035482,4602.257970889492
1273/2599/raid-mythic/225577/639/0/neck//,1508716.078234044,1375751.113369493,1628754.541198581,47152.91780177463,5804.1229562463595
1273/2609/raid-mythic/212060/639/7403/back//,1537528.5414820015,1361283.7717653024,1780484.2174920163,43619.439177745866,391.5878291007375
1273/2608/raid-mythic/212066/639/0/hands//,1524374.78457082,1387983.9810215263,1727057.6885052258,42864.76510973902,1500.5669222426563
1273/2608/raid-mythic/225575/639/0/neck//,1505504.0605888998,1310902.613645542,1608201.5497659324,48360.2138028614,5908.1404492476995
1273/2609/raid-mythic/212448/639/0/neck//,1533601.4010666376,1375568.1627041893,1687591.198669694,44341.89496436193,1505.9297055324982
1273/2611/raid-mythic/212417/639/0/head//,1440232.567803924,1333936.7675308872,1561062.470101886,44668.68815107787,5498.3354246070285
1273/2607/raid-mythic/212062/639/0/waist//,1542489.4015172403,1338701.5940839567,1727135.69165179,43711.55633604281,392.57302428130936
1273/2601/raid-mythic/225591/639/7424/feet//,1539107.77056123,1340430.9670368412,1711865.3835512537,44152.03824364266,390.52725664672283
1273/2607/raid-mythic/212060/639/7403/back//,1538740.4962480033,1367363.974602159,1717821.6639363142,44289.79146981915,391.9297106328474
1273/2599/raid-mythic/212449/639/0/trinket2//swap_doubleonuse,1525173.4813889074,1337304.8581822985,1659384.4060377888,44422.94165549138,1454.3418180087492
1273/2612/raid-mythic/212061/639/7385/wrist//,1541516.6507983608,1349855.558383642,1716775.993835757,43862.65561036457,391.91214157246384
1273/2611/raid-mythic/212447/639/7346/finger2//,1514513.3072244609,1411296.0225799442,1594376.9578580104,37827.053453030334,4621.310101992973
1273/2601/raid-mythic/212067/639/7424/feet//,1542000.1714458012,1384734.1267864213,1751384.1863509668,43940.871207007374,391.7985894740438
1273/2611/raid-mythic/212061/639/7385/wrist//,1542247.252636183,1389883.742258961,1713863.618553738,43937.51742591498,392.5810307230658
1273/2611/raid-mythic/212447/639/7340/finger1//,1507040.494527684,1356605.178766785,1634856.9164827387,43891.536445809026,5402.674662488355
1273/2612/raid-mythic/225588/639/7385/wrist//,1538598.0615257341,1336508.1133123608,1706937.4424941486,43977.37996068246,391.1148294203033
1273/2612/raid-mythic/225576/639/7346/finger2//,1530953.061027002,1393624.005513101,1685737.9025130232,45519.31688042939,1433.7237180376262
1273/2612/raid-mythic/225576/639/7340/finger1//,1533643.4840297627,1329215.9234171754,1714491.4749381007,43449.964944110136,390.1764712369401
1273/2602/raid-mythic/225578/639/7346/finger2//,1556528.0839959825,1369548.4298840815,1758919.1400386496,44305.2205099016,395.9929269331709
1273/2609/raid-mythic/212391/639/7463/off_hand//,1516249.9879048376,1363103.6240329852,1652503.3989192457,43252.10650199425,1518.786879154155
1273/-67/raid-mythic/225728/639/7340/finger1//,1517600.3722052542,1375164.6513942794,1660009.7824304455,45281.65966221557,1516.1421059341562
